NAME,ID,SCORE
Zoe,195601,0
Aspen,191886,1
Ali,195122,4
Kieran,162884,5
Sheila,106755,7
Dana,173414,7
Ali,167641,9
Philip,130312,11
Price,154557,12
Christopher,127272,13
Aspen,189078,13
Rinah,175068,14
Tad,193727,18
Hayfa,185176,19
MacKensie,155131,22
Knox,156328,22
Casey,180982,25
Hayes,143570,26
Teagan,117383,26
Kyra,107811,27
Kieran,120246,27
Teagan,195931,28
Odessa,186476,28
Olivia,187251,28
Kieran,106204,31
Marny,131082,31
Odessa,111648,33
Macy,168263,34
Sheila,144139,35
Wynter,148303,36
Mariko,181794,36
Amanda,163036,37
Jasmine,130749,37
Philip,171486,38
Wynter,130064,40
Colton,114366,41
Vincent,171444,42
Jaime,199649,45
Kyra,168778,46
Eagan,122702,46
Kieran,113961,47
Marsden,175542,48
Ezekiel,119874,49
Travis,109417,50
Lavinia,196633,50
Marshall,148178,51
Casey,134216,51
Wynter,191670,52
Naomi,183704,52
Travis,141750,54
Ali,142599,54
Knox,107066,56
Sheila,161131,56
Mariko,181104,56
Tad,175839,58
Rylee,172998,58
Jasmine,187005,58
Zia,149572,60
Jesse,119935,60
Eagan,174977,61
Katelyn,176647,61
Driscoll,120836,64
Ali,164261,65
Kellie,187955,66
Miriam,109265,66
Idola,172128,67
Olivia,158583,68
Aaron,158883,70
Quon,177281,75
Tashya,166028,75
Merrill,181260,76
Price,120543,80
Tashya,110903,81
Ulric,115380,81
Mariko,136185,82
Macy,157394,83
Merrill,190551,84
Aquila,180508,84
Isabella,101668,87
Dana,174102,88
Christopher,166085,88
Dana,187782,88
Teagan,111903,88
Callie,183956,89
Gwendolyn,106635,90
Idola,146278,90
Kyra,191594,90
Nayda,171544,91
Miriam,114806,93
Heidi,172615,93
Odessa,170290,93
Driscoll,118453,94
Quon,146718,97
Price,129392,97
Nayda,153357,98
Kellie,143998,99
Kameko,199245,99
Price,193016,102
Isabella,113568,102
Kameko,189546,102
Kieran,131279,103
Amanda,154171,103
Freya,125312,103
Katelyn,198115,103
Olivia,146407,104
Kyra,115192,106
Ulric,122857,108
Quon,135940,110
Zia,177474,110
Jesse,146754,110
